internalField   nonuniform List<vector> 
106488
(
(1.32116 -5.59206e-05 3.3722e-06)
(1.32119 -5.80438e-05 6.25717e-06)
(1.32121 -6.18876e-05 9.49138e-06)
(1.32123 -6.77374e-05 1.31676e-05)
(1.32125 -7.59843e-05 1.7394e-05)
(1.32127 -8.71594e-05 2.2274e-05)
(1.32129 -0.00010198 2.78895e-05)
(1.32131 -0.000121423 3.42626e-05)
(1.32134 -0.000146824 4.12784e-05)
(1.32137 -0.000180013 4.85434e-05)
(1.32141 -0.000223489 5.51175e-05)
(1.32147 -0.000280652 5.90105e-05)
(1.32156 -0.000356718 5.63145e-05)
(1.32171 -0.000467909 3.8474e-05)
(1.32199 -0.000653674 -2.29873e-05)
(1.32262 -0.000979732 -0.000222795)
(1.32439 -0.0015592 -0.000854492)
(1.32483 -0.00323667 -0.00243793)
(1.3558 -0.00540623 -0.0115438)
(1.31899 -0.0164563 -0.0383826)
(1.26722 -0.0309939 -0.0297713)
(1.38124 -0.0241694 -0.015102)
(1.4062 -0.0163482 -0.0104233)
(1.43044 -0.0120833 -0.00711077)
(1.44749 -0.00912207 -0.00503538)
(1.45947 -0.00708691 -0.00373352)
(1.46832 -0.00568308 -0.00286454)
(1.47501 -0.0046843 -0.00226178)
(1.48016 -0.0039533 -0.00183097)
(1.48422 -0.00340384 -0.00151595)
(1.48752 -0.00297125 -0.00127724)
(1.49034 -0.00261175 -0.00108715)
(1.4928 -0.00230543 -0.000931341)
(1.49495 -0.00204243 -0.000802099)
(1.49684 -0.00181489 -0.000693873)
(1.4985 -0.00161661 -0.000602525)
(1.49996 -0.00144274 -0.000524905)
(1.50126 -0.00128941 -0.00045857)
(1.5024 -0.00115357 -0.000401599)
(1.50341 -0.00103277 -0.000352459)
(1.50431 -0.000925033 -0.000309914)
(1.50511 -0.000828723 -0.000272953)
(1.50582 -0.000742487 -0.000240745)
(1.50645 -0.000665183 -0.000212602)
(1.50701 -0.000595837 -0.000187948)
(1.50751 -0.000533606 -0.000166303)
(1.50796 -0.000477752 -0.000147259)
(1.50836 -0.000427628 -0.000130471)
(1.50871 -0.00038266 -0.000115645)
(1.50903 -0.000342337 -0.00010253)
(1.50931 -0.000306205 -9.0908e-05)
(1.50956 -0.000273854 -8.05928e-05)
(1.50978 -0.000244915 -7.14226e-05)
(1.50998 -0.000219065 -6.32499e-05)
(1.51016 -0.000196015 -5.5955e-05)
(1.51031 -0.000175507 -4.94271e-05)
(1.51045 -0.000157317 -4.35679e-05)
(1.51058 -0.000141248 -3.8291e-05)
(1.51069 -0.000127131 -3.35178e-05)
(1.51079 -0.00011482 -2.91754e-05)
(1.51087 -0.000104193 -2.52001e-05)
(1.51095 -9.51586e-05 -2.15295e-05)
(1.51102 -8.76473e-05 -1.81043e-05)
(1.51108 -8.16152e-05 -1.48696e-05)
(1.51114 -7.70437e-05 -1.17694e-05)
